constituency,AITC+_candidate,AITC+_total_votes,AITC+_vote_share,BJP_candidate,BJP_total_votes,BJP_vote_share,Other_candidate,Other_total_votes,Other_vote_share
Kumarganj,TORAF HOSSAIN MANDAL,82791,47.62,SUBHENDU SARKAR,76106,43.77,MOFAZZAL HOSSAIN,14521,8.36
Kumargram,RAJEEV TIRKEY,90167,36.53,MANOJ KUMAR ORAON,143044,57.95,KISHOR MINJ,12072,4.9
Kurseong,AMAR LAMA,57871,31.83,SONAM LAMA,74878,41.18,BANDANA RAI,46197,25.41
Kushmandi,REKHA ROY,88374,44.29,TAPAS CHANDRA ROY,97437,48.83,JYOTIRMOY ROY,12257,6.14
Labhpur,ABHIJIT SINHA (RANA),102852,46.12,DEBASIS OJHA (HAKU DA),106402,47.71,MANASA HANSDA,13345,5.99
Lalgola,ABDUL AZIZ DOCTOR,67954,37.72,AMAR KUMAR DAS,35496,19.7,TOUHIDUR RAHAMAN SUMAN,75778,42.05
Madarihat,JAYPRAKASH TOPPO,61578,34.84,LAXUMAN LIMBU,102488,57.98,SUBHASH LOHAR,12687,7.17
Madhyamgram,RATHIN GHOSH,95995,41.21,ANINDYA BANERJEE,93596,40.18,PRIYANKA BARMAN,42974,18.44
Magrahat Paschim,MD. SAMIM AHAMED MOLLA,113834,55.43,GOURSUNDAR GHOSH,55331,26.94,ABDUL AZIZ AL HASSAN,33851,16.47
Magrahat Purba,SARMISTHA PURKAIT,108412,48.8,UTTAM KUMAR BANIK,76805,34.57,CHANDAN SAHA,36621,16.49
Maheshtala,SUBHASIS DAS,116811,50.83,TAMANATH BHOWMICK,83898,36.51,SAYAN BANERJEE,28253,12.28
Mahisadal,TILAK KUMAR CHAKRABORTY,95346,40.03,SUBHAS CHANDRA PANJA,121584,51.05,PARITOSH PATTANAYAK,20845,8.74
Mal,BULU CHIK BARAIK,96603,43.04,SUKRA MUNDA,112095,49.94,MANU ORAON,14337,6.39
Malatipur,ABDUR RAHIM BOXI,104123,51.54,ASHIS DAS,43346,21.45,MAUSAM B NOOR,54302,26.87
Maldaha,LIPIKA BARMAN GHOSH,73528,33.3,GOPAL CHANDRA SAHA,123656,56.0,BHUPENDRA NATH HALDER (ARJUN),21031,9.54
Manbazar,SANDHYA RANI TUDU,93204,39.42,MAYNA MURMU,120487,50.95,SHANTIMANI MURMU,22776,9.63
Mandirbazar,JOYDEB HALDER S/O - KARTICK CHANDRA HALDER,93686,43.94,MALLIKA PAIK W/O - ASHOK PAIK,91691,43.0,ASHOKE KUMAR GAYEN,26895,12.62
Mangalkot,APURBA CHOWDHURY (ACHAL),91297,41.64,SHISHIR GHOSH,104020,47.44,MIRAJ ALAM SEKH,23930,10.91
Manikchak,KABITA MANDAL,96180,42.68,GOUR CHANDRA MANDAL,110118,48.86,ANSARUL HAQUE (KALU),18446,8.18
Maniktola,SHRREYA PANDE,60726,40.29,TAPAS ROY,76370,50.67,MOUSUMI GHOSH,12891,8.55
Mathabhanga,DR. SABLU BARMAN,86250,35.66,NISHITH PRAMANIK,143340,59.27,KHAGEN CHANDRA BARMAN,9610,3.97
Matigara-Naxalbari,SHANKAR MALAKAR,62640,24.96,ANANDAMAY BARMAN,166905,66.5,JHAREN ROY,18436,7.34
Maynaguri,RAMMOHAN RAY,90900,36.15,DALIM CHANDRA ROY,147403,58.62,SUDEB RAY,10592,4.22
Mayureswar,ABHIJIT ROY,86054,40.31,DUDH KUMAR MONDAL,107056,50.15,JAYANTA BHALLA,19156,8.96
Medinipur,SUJOY HAZRA,94294,38.63,SANKAR KUMAR GUCHHAIT,133041,54.51,MANIKUNTAL KHAMRAI,15936,6.53
Mekliganj,ADHIKARY PARESH CHANDRA,89525,40.91,DADHIRAM RAY,119109,54.42,KAMAL KUMAR ROY,8171,3.74
Memari,RASH BIHARI  HALDER,99322,43.66,MANAB GUHA,106428,46.78,KRISHANU BHADRA,21742,9.55
Metiaburuz,ABDUL KHALEQUE MOLLA,124230,68.99,BIR BAHADUR SINGH,36351,20.19,MONIRUL ISLAM,18930,10.51
Minakhan,USHA RANI MONDAL,92079,42.66,RUDRENDRA PATRA,59787,27.7,PRATIK MONDAL,60927,28.22
Manteswar,CHOWDHURI SIDDIQULLAH,81761,40.05,SAIKAT PANJA,96559,47.29,ANUPAM GHOSH,25463,12.48
Mothabari,ISLAM MD NAJRUL,65705,40.51,NIBARAN GHOSH,55209,34.04,SAYEM CHOWDHURY (BABU),40541,25.0
Moyna,CHANDAN MONDAL,110925,45.03,ASHOKE DINDA,127166,51.62,SWAPAN KUMAR BARMAN,7912,3.21
